"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x14cab71038fa9a65:0x2dd354eff65c968c","+908508080000","ok Market","Cumhuriyet, ok Market, zzetpaa Sok. NO:5, 34380 ili/stanbul, Trkiye","41.0553823","28.9863009","127","3.7","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7366&utm_campaign=magazayonlendirme","ChIJZZr6OBC3yhQRjJZc9u9U0y0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab71038fa9a65:0x2dd354eff65c968c","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","ili/stanbul, Trkiye","true","//lh4.googleusercontent.com/hSukN3iNXNWB4TW_3HvlKO0wdr4zdfqjDYtPK80rzCGL-2ZKt2z-OwEkVUhsDTl6tg=w203-h152-k-no","Open  Closes 9PM",""
"0x14cab71299120a8b:0x57da32a22e79bd2","+908508080000","ok Market","Ergenekon, ok Market, Halaskargazi Cd. MEYDAN APT NO:9/B, 34373 ili/stanbul, Trkiye","41.048887","28.987399999999997","9","4.1","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7386&utm_campaign=magazayonlendirme","ChIJiwoSmRK3yhQR0pvnIiqjfQU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab71299120a8b:0x57da32a22e79bd2","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","ili/stanbul, Trkiye","true","//lh4.googleusercontent.com/eosQnSNbZdz1HsGZsAjJoJttGFVO3NDGwBwByHQKciBttdLwco1WQ1DzPove6r0=w203-h114-k-no","Open  Closes 9PM",""
"0x14cab762c4f60c7d:0x5145822b0f69928b","+908508080000","ok Market","Cihangir, ok Market, CIHANGIR CAD, PRTELA MAH, zoul Sk. NO:31/A, 34427 Beyolu/stanbul, Trkiye","41.030668299999995","28.986930899999997","67","3.7","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=729&utm_campaign=magazayonlendirme","ChIJfQz2xGK3yhQRi5JpDyuCRVE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab762c4f60c7d:0x5145822b0f69928b","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","Beyolu/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipPB7atOT5yOL8idXxVOq6fj97PtrJR7Hxqhd1KZ=w203-h114-k-no","Open  Closes 9PM",""
"0x14cab712170c02eb:0x1339b0654b539535","+902122305205","Pangalti Market","Bozkurt, Pangalti Market, Ergenekon Cd. No:29, 34375 ili/stanbul - Avrupa, Trkiye","41.0514113","28.986784699999998","14","3.6","Europe/Istanbul","http://www.firmasec.com/firma/rdbkry-pangalti-market/","ChIJ6wIMFxK3yhQRNZVTS2WwORM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab712170c02eb:0x1339b0654b539535","Grocery store","","8AM10PM","8AM10:30PM","8AM10:30PM","8AM11PM","8AM10PM","8AM10PM","8AM10PM","ili/stanbul - Avrupa, Trkiye","false","//lh3.googleusercontent.com/1-Vr6SGq1iaqO9v3tQFjLbSItBO8Su_BTcPKKb9VHfgjHz9Y3twhV0JjUZvCFHw=w203-h114-k-no","Open  Closes 11PM",""
"0x14cab9f3368af5c7:0xff5057c7eb793084","+905302020027","Zerdali Market","Hacmimi, Zerdali Market, Boazkesen Cd. 41/a, 34421 Beyolu/stanbul, Trkiye","41.0283261","28.979824299999997","39","3.7","Europe/Istanbul","","ChIJx_WKNvO5yhQRhDB568dXUP8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab9f3368af5c7:0xff5057c7eb793084","Supermarket","","7AM12:30AM","7AM12:30AM","7AM3:30AM","7AM3:30AM","7AM12:30AM","7AM12:30AM","7AM12:30AM","Beyolu/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipMuJaeC2ZZhLflRgX3AQ3Yb1lyJFxAezy1zSjxf=w203-h270-k-no","Open  Closes 3:30AM",""
"0x14cab9e11f0a748f:0x71a1d6262225af7b","+908508080000","SOK","Asmal Mescit, SOK, TOPTAS APT, Merutiyet Cd. NO:105/A, 34430 Beyolu/stanbul, Trkiye","41.029523999999995","28.973119999999998","128","3.9","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7382&utm_campaign=magazayonlendirme","ChIJj3QKH-G5yhQRe68lIibWoXE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab9e11f0a748f:0x71a1d6262225af7b","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","Beyolu/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipPM1IxH7Ebt_VBFNloy366Md52pHfR3a0gqqqQy=w203-h134-k-no","Open  Closes 9PM",""
"0x14cab74cb9d1346d:0x8934ca3e96451334","+908508080000","ok","Gayrettepe, ok, Vefabey Soka BURAK APT NO:15/A D:1, 34349 Beikta/stanbul, Trkiye","41.065464","29.006121999999998","30","3.5","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=3021&utm_campaign=magazayonlendirme","ChIJbTTRuUy3yhQRNBNFlj7KNIk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab74cb9d1346d:0x8934ca3e96451334","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","Beikta/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipP5UyFr6VBcyqqH2Pbt9LL3e7xrLNLUG9Lr9aKE=w203-h152-k-no","Open  Closes 9PM",""
"0x14cab7734d290aa5:0x1a98283a5f9f70a6","","Temur Market","Kocatepe, Temur Market, Topu Cd. No:7, 34437 Beyolu/stanbul, Trkiye","41.0404799","28.9853176","","","Europe/Istanbul","","ChIJpQopTXO3yhQRpnCfXzoomBo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7734d290aa5:0x1a98283a5f9f70a6","Grocery store","","","","","","","","","Beyolu/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AJ0TzrygNQNFZdt-SdFDvA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=315.48602&pitch=0&thumbfov=100","",""
"0x14cab763f945a28d:0x95861759d006287e","","Arzum Market","Katip Mustafa elebi, Arzum Market, Byk Parmakkap Sk. No:22/A, 34433 Beyolu/stanbul, Trkiye","41.034737","28.9823885","10","4.6","Europe/Istanbul","","ChIJjaJF-WO3yhQRfigG0FkXhpU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab763f945a28d:0x95861759d006287e","Supermarket","","8AM7PM","8AM7PM","8AM7PM","8AM7PM","8AM7PM","8AM7PM","8AM7PM","Beyolu/stanbul, Trkiye","false","//lh6.googleusercontent.com/Ey9H1G10PLm_o78oKFP6O_IKtzy9d5DUIl6-t9-LF-5eCyFm8FqADnMht3TvIEGU8Q=w203-h114-k-no","Open  Closes 7PM",""
"0x14cab78d490a7461:0xb53130330b762d97","+908508080000","ok Market","HACI HESNA HATUN MAH, ok Market, Selvilik Cd. NO:73, 34674 skdar/stanbul, Trkiye","41.027623999999996","29.022247","75","3.6","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=970&utm_campaign=magazayonlendirme","ChIJYXQKSY23yhQRly12CzMwMbU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab78d490a7461:0xb53130330b762d97","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","skdar/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipNgBuHGGpmq8hDNEEOJwug8upyNTm8P3SYt_LkH=w203-h270-k-no","Open  Closes 9PM",""
